controller,rmse_mean,final_position_error_mean,success_rate,robustness_score_mean,control_smoothness_mean,mean_estimated_uncertainty,mean_structure_uncertainty,mean_disturbance_uncertainty,mean_correction_gain,mean_structure_gain,mean_disturbance_gain,condition_group
adaptive_gru_nominal,0.12572313082360087,0.052346067619509995,0.996031746031746,0.8817965139800938,0.11615486228690734,0.20300276358685795,0.3100509810305777,0.14536141654446957,1.0,1.0,1.0,overall
adaptive_gru_uncertainty,0.12783783823547382,0.05781651340634747,0.9880952380952381,0.877446224168686,0.11499283820508964,0.21542324610645808,0.3287355537334132,0.15440892849472307,0.9681932968752724,0.99787456932522,0.9681932968752724,overall
adaptive_mlp,0.1425658498432428,0.07359512060481523,0.9761904761904762,0.8613056797814405,0.11879705439602571,0.0,0.0,0.0,1.0,1.0,1.0,overall
baseline,0.20077711324547493,0.13518040342670348,0.8650793650793651,0.7837919869824985,0.0922050303853457,0.0,0.0,0.0,1.0,1.0,1.0,overall
adaptive_gru_nominal,0.13682800617620902,0.06759872078826581,1.0,0.873495559003615,0.11929523862070507,0.203298916971242,0.31626914138043366,0.14246879797428846,1.0,1.0,1.0,compound_shift_ood
adaptive_gru_nominal,0.12407990172505379,0.016972284789921507,1.0,0.884099418853874,0.12220833264291286,0.18842166082726586,0.27867323118779397,0.13982465832183757,1.0,1.0,1.0,hard_unseen_trajectory
adaptive_gru_nominal,0.11516599850384174,0.04888467539395033,0.9907407407407407,0.8893298339986461,0.11099666250110776,0.20756697778900465,0.3142920706283163,0.15009962118886136,1.0,1.0,1.0,in_distribution_single_shift
adaptive_gru_uncertainty,0.1402451044500426,0.07553380695430355,0.9722222222222222,0.8617136875582511,0.11520914547145367,0.21289868183709956,0.33160479918674185,0.14898000488540641,0.9699198708490089,0.9978084818080619,0.9699198708490089,compound_shift_ood
adaptive_gru_uncertainty,0.12344115517205662,0.01868034764063648,1.0,0.8847208899705571,0.12941192566520637,0.20423196421729195,0.3037373651232984,0.1506521330318517,0.967870326505767,0.99890422489908,0.967870326505767,hard_unseen_trajectory
adaptive_gru_uncertainty,0.1168961330420441,0.05314460844696172,1.0,0.8907538721784972,0.10997016845202004,0.22167823767220532,0.3341990378167894,0.1610901172583302,0.9665743796913712,0.997597438317758,0.9665743796913712,in_distribution_single_shift
adaptive_mlp,0.15934498549473505,0.09565741210934464,0.9722222222222222,0.8459144374946987,0.11629656833355073,0.0,0.0,0.0,1.0,1.0,1.0,compound_shift_ood
adaptive_mlp,0.13509708415302965,0.024277361180995487,1.0,0.8746328044705489,0.12789381999108526,0.0,0.0,0.0,1.0,1.0,1.0,hard_unseen_trajectory
adaptive_mlp,0.12827630275515495,0.06797208224155905,0.9722222222222222,0.8722545471718128,0.11826528526014751,0.0,0.0,0.0,1.0,1.0,1.0,in_distribution_single_shift
baseline,0.2363519127032271,0.1799008471166922,0.7870370370370371,0.7330222207074423,0.09469557888115998,0.0,0.0,0.0,1.0,1.0,1.0,compound_shift_ood
baseline,0.1812973292544484,0.048509910237044096,1.0,0.8371180590212262,0.10247310333781773,0.0,0.0,0.0,1.0,1.0,1.0,hard_unseen_trajectory
baseline,0.17169557511806488,0.11935012413326788,0.8981481481481481,0.816786395911312,0.08629179090537407,0.0,0.0,0.0,1.0,1.0,1.0,in_distribution_single_shift
