controller_a,controller_b,condition_group,rmse_delta,final_position_error_delta,success_rate_delta,robustness_score_delta,control_smoothness_delta,rmse_win_rate_a,rmse_win_rate_b,paired_episodes
baseline,adaptive_mlp,overall,0.0582112634022321,0.06158528282188825,-0.1111111111111111,-0.07751369279894206,-0.026592024010680025,0.027777777777777776,0.9722222222222222,252
baseline,adaptive_mlp,compound_shift_ood,0.07700692720849205,0.08424343500734756,-0.18518518518518517,-0.11289221678725639,-0.021600989452390758,0.018518518518518517,0.9814814814814815,108
baseline,adaptive_mlp,hard_unseen_trajectory,0.04620024510141876,0.02423254905604861,0.0,-0.037514745449322734,-0.025420716653267544,0.0,1.0,36
baseline,adaptive_mlp,in_distribution_single_shift,0.04341927236290993,0.05137804189170883,-0.07407407407407407,-0.05546815126050082,-0.03197349435477345,0.046296296296296294,0.9537037037037037,108
baseline,adaptive_gru_nominal,overall,0.07505398242187405,0.08283433580719349,-0.13095238095238096,-0.09800452699759539,-0.023949831901561646,0.03968253968253968,0.9603174603174603,252
baseline,adaptive_gru_nominal,compound_shift_ood,0.0995239065270181,0.11230212632842639,-0.21296296296296297,-0.14047333829617253,-0.024599659739545098,0.027777777777777776,0.9722222222222222,108
baseline,adaptive_gru_nominal,hard_unseen_trajectory,0.05721742752939463,0.03153762544712259,0.0,-0.04698135983264784,-0.019735229305095144,0.0,1.0,36
baseline,adaptive_gru_nominal,in_distribution_single_shift,0.05652957661422314,0.07046544873931755,-0.09259259259259259,-0.0725434380873341,-0.024704871595733695,0.06481481481481481,0.9351851851851852,108
baseline,adaptive_gru_uncertainty,overall,0.0729392750100011,0.07736389002035601,-0.12301587301587301,-0.09365423718618754,-0.02278780781974395,0.03571428571428571,0.9642857142857143,252
baseline,adaptive_gru_uncertainty,compound_shift_ood,0.09610680825318452,0.10436704016238865,-0.18518518518518517,-0.12869146685080868,-0.02051356659029369,0.018518518518518517,0.9814814814814815,108
baseline,adaptive_gru_uncertainty,hard_unseen_trajectory,0.05785617408239179,0.029829562596407615,0.0,-0.04760283094933097,-0.02693882232738866,0.027777777777777776,0.9722222222222222,36
baseline,adaptive_gru_uncertainty,in_distribution_single_shift,0.05479944207602077,0.06620551568630617,-0.10185185185185185,-0.07396747626718521,-0.023678377546645975,0.05555555555555555,0.9444444444444444,108
adaptive_mlp,adaptive_gru_nominal,overall,0.01684271901964195,0.021249052985305234,-0.01984126984126984,-0.02049083419865334,0.002642192109118378,0.1865079365079365,0.8134920634920635,252
adaptive_mlp,adaptive_gru_nominal,compound_shift_ood,0.022516979318526056,0.028058691321078827,-0.027777777777777776,-0.02758112150891615,-0.002998670287154339,0.12037037037037036,0.8796296296296297,108
adaptive_mlp,adaptive_gru_nominal,hard_unseen_trajectory,0.011017182427975867,0.0073050763910739785,0.0,-0.009466614383325094,0.0056854873481724,0.1388888888888889,0.8611111111111112,36
adaptive_mlp,adaptive_gru_nominal,in_distribution_single_shift,0.01311030425131321,0.019087406847608724,-0.018518518518518517,-0.017075286826833277,0.007268622759039755,0.26851851851851855,0.7314814814814815,108
adaptive_mlp,adaptive_gru_uncertainty,overall,0.01472801160776899,0.01577860719846776,-0.011904761904761904,-0.01614054438724547,0.0038042161909360734,0.1865079365079365,0.8134920634920635,252
adaptive_mlp,adaptive_gru_uncertainty,compound_shift_ood,0.019099881044692464,0.020123605155041097,0.0,-0.0157992500635523,0.001087422862097069,0.12962962962962962,0.8703703703703703,108
adaptive_mlp,adaptive_gru_uncertainty,hard_unseen_trajectory,0.011655928980973031,0.005597013540359007,0.0,-0.01008808550000823,-0.001518105674121115,0.25,0.75,36
adaptive_mlp,adaptive_gru_uncertainty,in_distribution_single_shift,0.011380169713110835,0.014827473794597338,-0.027777777777777776,-0.018499325006684386,0.008295116808127475,0.2222222222222222,0.7777777777777778,108
adaptive_gru_nominal,adaptive_gru_uncertainty,overall,-0.0021147074118729623,-0.005470445786837474,0.007936507936507936,0.004350289811407867,0.001162024081817695,0.5753968253968254,0.4246031746031746,252
adaptive_gru_nominal,adaptive_gru_uncertainty,compound_shift_ood,-0.003417098273833593,-0.00793508616603773,0.027777777777777776,0.011781871445363846,0.004086093149251408,0.6111111111111112,0.3888888888888889,108
adaptive_gru_nominal,adaptive_gru_uncertainty,hard_unseen_trajectory,0.0006387465529971652,-0.0017080628507149715,0.0,-0.0006214711166831353,-0.007203593022293515,0.4722222222222222,0.5277777777777778,36
adaptive_gru_nominal,adaptive_gru_uncertainty,in_distribution_single_shift,-0.001730134538202374,-0.004259933053011385,-0.009259259259259259,-0.0014240381798511102,0.0010264940490877187,0.5740740740740741,0.42592592592592593,108
